MACH_SER_NO,OCUR_TS,,SMU,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_L,OCAL
Truck 11,22-Jul-16,12.07.18.000000000 AM,23018.03444,399.5,92,129,231,1.6,67,513,2.8,4,86.11811885,69,22-Jul-16,11.07.18.000000000 AM
Truck 11,22-Jul-16,12.25.11.000000000 AM,23018.3325,333.8,133,92,362,2.8,75,472,2.8,4,86.11811885,69,22-Jul-16,11.25.11.000000000 AM
Truck 11,22-Jul-16,12.44.52.000000000 AM,23018.66056,361.2,120,30,318,2.7,76,475,2.7,4,85.1717659,66,22-Jul-16,11.44.52.000000000 AM
Truck 11,22-Jul-16,01.02.31.000000000 AM,23018.955,365.2,109,63,305,2.7,73,497,2.8,4,86.59129533,74,22-Jul-16,12.02.31.000000000 PM
Truck 11,22-Jul-16,01.20.42.000000000 AM,23019.25806,327.8,93,43,327,2.4,77,496,2.8,4,83.75223647,83,22-Jul-16,12.20.42.000000000 PM
Truck 11,22-Jul-16,01.38.41.000000000 AM,23019.55778,366.2,103,107,316,2.7,69,489,2.8,4,88.01082476,73,22-Jul-16,12.38.41.000000000 PM
Truck 11,22-Jul-16,03.06.29.000000000 AM,23019.85,384.8,115,124,325,2.5,62,544,2.8,5,91.3230601,63,22-Jul-16,02.06.29.000000000 PM
Truck 11,22-Jul-16,03.26.46.000000000 AM,23020.23722,351.7,111,80,317,2.7,59,519,2.8,4,85.64494238,64,22-Jul-16,02.26.46.000000000 PM
Truck 11,22-Jul-16,03.45.36.000000000 AM,23020.55111,348,95,44,312,2.7,80,466,2.7,4,83.27905999,67,22-Jul-16,02.45.36.000000000 PM
Truck 11,22-Jul-16,04.02.54.000000000 AM,23020.83944,387.2,137,2,294,2.7,53,502,2.8,4,88.01082476,59,22-Jul-16,03.02.54.000000000 PM
Truck 11,22-Jul-16,04.20.04.000000000 AM,23021.12556,359.3,95,79,308,2.8,51,498,2.8,4,86.59129533,75,22-Jul-16,03.20.04.000000000 PM
Truck 11,22-Jul-16,04.37.57.000000000 AM,23021.42389,357.9,128,42,324,2.8,68,521,3,5,91.79623658,60,22-Jul-16,03.37.57.000000000 PM
Truck 11,22-Jul-16,04.56.46.000000000 AM,23021.7375,352.1,100,211,472,2.8,71,470,2.7,4,88.01082476,84,22-Jul-16,03.56.46.000000000 PM
Truck 11,22-Jul-16,05.19.44.000000000 AM,23022.12028,357.8,99,25,305,2.7,67,477,2.7,3,84.22541295,72,22-Jul-16,04.19.44.000000000 PM
Truck 11,22-Jul-16,05.36.36.000000000 AM,23022.40139,357.7,100,86,298,2.7,61,471,2.8,4,82.33270704,65,22-Jul-16,04.36.36.000000000 PM
Truck 11,22-Jul-16,05.54.14.000000000 AM,23022.69528,335.2,101,73,297,2.7,184,506,2.8,4,84.69858942,73,22-Jul-16,04.54.14.000000000 PM
Truck 11,22-Jul-16,07.35.58.000000000 AM,23023.41167,299.6,113,15,291,2.7,79,435,2.8,4,78.54729522,67,22-Jul-16,06.35.58.000000000 PM
Truck 11,22-Jul-16,07.52.07.000000000 AM,23023.68083,358.9,114,103,309,2.7,383,589,2.8,4,91.3230601,76,22-Jul-16,06.52.07.000000000 PM
Truck 11,22-Jul-16,08.24.35.000000000 AM,23024.08611,363,106,3,306,2.7,62,458,2.7,4,79.49364817,54,22-Jul-16,07.24.35.000000000 PM
Truck 11,22-Jul-16,08.40.48.000000000 AM,23024.33944,349,98,125,324,2.7,62,468,2.7,4,79.96682465,60,22-Jul-16,07.40.48.000000000 PM
Truck 11,22-Jul-16,08.59.28.000000000 AM,23024.65056,331,100,196,336,2.7,60,448,2.7,4,79.49364817,63,22-Jul-16,07.59.28.000000000 PM
Truck 11,22-Jul-16,09.19.14.000000000 AM,23024.98028,331.3,105,109,283,2.5,59,450,2.7,4,77.12776579,62,22-Jul-16,08.19.14.000000000 PM
Truck 11,22-Jul-16,09.36.40.000000000 AM,23025.27083,333.3,107,125,280,2.7,57,465,2.7,4,77.60094226,59,22-Jul-16,08.36.40.000000000 PM
Truck 11,22-Jul-16,09.54.37.000000000 AM,23025.57,364.9,102,208,296,2.7,61,462,2.8,4,82.80588351,77,22-Jul-16,08.54.37.000000000 PM
Truck 11,22-Jul-16,10.14.12.000000000 AM,23025.89639,361.5,95,33,276,2.7,56,469,2.8,4,80.44000113,63,22-Jul-16,09.14.12.000000000 PM
Truck 11,22-Jul-16,10.30.19.000000000 AM,23026.165,309.4,139,23,302,2.7,57,452,2.8,4,75.23505988,49,22-Jul-16,09.30.19.000000000 PM
Truck 11,22-Jul-16,10.47.12.000000000 AM,23026.44639,348.4,104,199,288,2.7,62,476,2.8,4,80.91317761,59,22-Jul-16,09.47.12.000000000 PM
Truck 11,22-Jul-16,11.06.47.000000000 AM,23026.77306,303.8,95,614,395,2.7,62,423,2.8,4,79.49364817,77,22-Jul-16,10.06.47.000000000 PM
Truck 11,22-Jul-16,11.34.22.000000000 AM,23027.23278,331.2,121,133,303,2.7,65,456,2.8,4,78.07411874,62,22-Jul-16,10.34.22.000000000 PM
Truck 11,22-Jul-16,11.53.04.000000000 AM,23027.52611,311,107,346,322,2.7,62,442,2.8,4,79.0204717,68,22-Jul-16,10.53.04.000000000 PM
Truck 11,22-Jul-16,12.15.15.000000000 PM,23027.89583,326.3,131,177,328,2.7,63,465,2.8,4,79.49364817,65,22-Jul-16,11.15.15.000000000 PM
Truck 11,22-Jul-16,12.35.26.000000000 PM,23028.23222,346.4,129,4,278,2.7,59,459,2.8,4,79.0204717,52,22-Jul-16,11.35.26.000000000 PM
Truck 11,22-Jul-16,12.51.33.000000000 PM,23028.50083,343.8,117,161,278,2.7,59,461,2.8,4,80.91317761,64,22-Jul-16,11.51.33.000000000 PM
Truck 11,22-Jul-16,01.10.12.000000000 PM,23028.81167,374.5,115,117,297,2.7,66,479,2.8,4,82.80588351,68,23-Jul-16,12.10.12.000000000 AM
Truck 11,22-Jul-16,02.07.07.000000000 PM,23029.25,345.3,115,196,258,2.4,70,489,2.8,4,78.54729522,64,23-Jul-16,01.07.07.000000000 AM
