MACH_SER_NO,OCUR_TS Date,OCUR_TS Time,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT,OCUR_TS_LOCAL
Truck 1,22-Jul-16,05.44.52.000000000 AM,349.7,193,454,711,3.6,648,610,2.8,5,77.60094226,79,22-JUL-16 12.44.52.000000000 AM
Truck 1,22-Jul-16,06.30.20.000000000 AM,336.5,323,99,177,0.6,56,1225,6.8,6,177.9143554,73,22-JUL-16 01.30.20.000000000 AM
Truck 1,22-Jul-16,07.02.59.000000000 AM,356.3,321,864,867,5.7,61,857,4.6,4,138.1675313,100,22-JUL-16 02.02.59.000000000 AM
Truck 1,22-Jul-16,07.54.33.000000000 AM,343.1,361,594,667,4.6,63,871,4.6,4,140.0602373,99,22-JUL-16 02.54.33.000000000 AM
Truck 1,22-Jul-16,08.38.55.000000000 AM,379.3,218,689,894,6.4,3725,1130,4.4,5,219.080709,103,22-JUL-16 03.38.55.000000000 AM
Truck 1,22-Jul-16,10.34.28.000000000 AM,330.7,305,874,718,4.1,843,681,2.5,4,131.5430607,85,22-JUL-16 05.34.28.000000000 AM
Truck 1,22-Jul-16,11.33.53.000000000 AM,353.5,107,191,464,2.4,61,705,2.7,4,129.6503548,67,22-JUL-16 06.33.53.000000000 AM
Truck 1,22-Jul-16,12.36.40.000000000 PM,335.2,131,421,600,3.8,62,615,2.2,4,119.2404723,83,22-JUL-16 07.36.40.000000000 AM
Truck 1,22-Jul-16,01.08.26.000000000 PM,342.8,465,249,315,1.6,238,516,3.2,6,63.40564795,54,22-JUL-16 08.08.26.000000000 AM
Truck 1,22-Jul-16,01.39.23.000000000 PM,366.2,253,31,215,0.8,164,430,2.2,4,66.24470681,62,22-JUL-16 08.39.23.000000000 AM
Truck 1,23-Jul-16,04.45.07.000000000 AM,389.3,648,673,513,2.2,67,437,2.2,5,93.68894249,97,22-JUL-16 11.45.07.000000000 PM
Truck 1,23-Jul-16,05.25.42.000000000 AM,340.2,135,147,630,4,148,1352,7,4,178.3875319,112,23-JUL-16 12.25.42.000000000 AM
Truck 1,23-Jul-16,06.07.35.000000000 AM,394,340,147,827,5.9,1270,1008,4,4,188.3242379,116,23-JUL-16 01.07.35.000000000 AM
Truck 1,23-Jul-16,07.09.54.000000000 AM,337.8,345,20,769,4.8,176,1053,5.1,6,139.5870608,145,23-JUL-16 02.09.54.000000000 AM
Truck 1,23-Jul-16,07.50.57.000000000 AM,331.6,192,220,577,2.7,2450,1387,7.5,5,222.8661208,140,23-JUL-16 02.50.57.000000000 AM
Truck 1,23-Jul-16,09.14.46.000000000 AM,363.3,225,543,659,5.1,64,829,4.6,4,133.9089431,113,23-JUL-16 04.14.46.000000000 AM
Truck 1,23-Jul-16,09.55.03.000000000 AM,358.1,156,13,557,4.1,1225,754,3,4,125.3917665,114,23-JUL-16 04.55.03.000000000 AM
Truck 1,23-Jul-16,10.42.00.000000000 AM,370.8,151,141,440,3.2,59,624,2.2,5,114.981884,75,23-JUL-16 05.42.00.000000000 AM
Truck 1,23-Jul-16,09.49.55.000000000 PM,398.2,112,397,592,4,336,620,3.3,4,92.74258954,64,23-JUL-16 04.49.55.000000000 PM
Truck 1,23-Jul-16,10.25.44.000000000 PM,361.7,104,228,459,2.7,1041,1030,4,4,165.611767,47,23-JUL-16 05.25.44.000000000 PM
Truck 1,23-Jul-16,11.15.27.000000000 PM,338.5,148,8,682,5.4,675,976,3.6,4,171.7630612,43,23-JUL-16 06.15.27.000000000 PM
Truck 1,23-Jul-16,11.58.42.000000000 PM,384.1,216,27,341,1.6,80,929,4.6,6,129.1771783,37,23-JUL-16 06.58.42.000000000 PM
Truck 1,24-Jul-16,12.26.22.000000000 AM,396.3,109,167,713,4.6,970,762,3.5,4,129.6503548,58,23-JUL-16 07.26.22.000000000 PM
Truck 1,24-Jul-16,01.13.37.000000000 AM,353.1,124,14,495,3.5,117,1024,4,4,151.4164727,53,23-JUL-16 08.13.37.000000000 PM
Truck 1,24-Jul-16,01.44.25.000000000 AM,356.2,195,1795,672,4.1,75,636,2.7,4,126.3381194,49,23-JUL-16 08.44.25.000000000 PM
Truck 1,24-Jul-16,02.43.00.000000000 AM,343.2,113,4,342,2.2,499,752,3,4,117.8209428,43,23-JUL-16 09.43.00.000000000 PM
Truck 1,24-Jul-16,03.12.42.000000000 AM,302,190,141,342,2.2,660,689,2.8,5,114.035531,47,23-JUL-16 10.12.42.000000000 PM
Truck 1,24-Jul-16,04.39.40.000000000 AM,344.9,168,2142,811,4.6,100,1000,3.8,5,170.8167083,85,23-JUL-16 11.39.40.000000000 PM
Truck 1,24-Jul-16,05.53.04.000000000 AM,331.8,160,329,1792,9.4,183,1000,3.8,4,222.3929443,111,24-JUL-16 12.53.04.000000000 AM
Truck 1,24-Jul-16,06.53.14.000000000 AM,313.6,134,335,348,1.4,257,916,4.3,4,122.5527076,61,24-JUL-16 01.53.14.000000000 AM
Truck 1,24-Jul-16,07.27.49.000000000 AM,386.4,143,5681,1077,5.4,79,1224,6,4,201.1000028,105,24-JUL-16 02.27.49.000000000 AM
Truck 1,24-Jul-16,09.50.25.000000000 AM,327.6,154,129,1164,6.8,1021,1354,5.6,4,239.4272975,123,24-JUL-16 04.50.25.000000000 AM
Truck 1,24-Jul-16,10.56.50.000000000 AM,327.3,127,347,697,3.8,971,713,2.8,3,116.4014134,61,24-JUL-16 05.56.50.000000000 AM
Truck 1,24-Jul-16,01.07.38.000000000 PM,364.5,327,242,834,4.1,56,967,6,4,142.8992961,106,24-JUL-16 08.07.38.000000000 AM
Truck 1,24-Jul-16,01.49.47.000000000 PM,323.2,122,276,845,6.8,612,1614,7.3,4,249.83718,140,24-JUL-16 08.49.47.000000000 AM
Truck 1,24-Jul-16,02.50.01.000000000 PM,301.6,154,3,479,3,763,805,3.6,4,144.3188256,73,24-JUL-16 09.50.01.000000000 AM
Truck 1,24-Jul-16,03.28.17.000000000 PM,399.2,494,26,970,6.2,100,551,2.8,5,130.5967077,110,24-JUL-16 10.28.17.000000000 AM
Truck 1,25-Jul-16,10.26.31.000000000 AM,315.3,209,204,1075,4.6,75,650,2.4,3,116.8745899,78,25-JUL-16 05.26.31.000000000 AM
Truck 1,25-Jul-16,11.04.59.000000000 AM,380.6,126,188,523,2.2,567,665,2.4,4,116.8745899,63,25-JUL-16 06.04.59.000000000 AM
Truck 1,25-Jul-16,11.40.55.000000000 AM,371.8,113,15,469,2.2,1076,1663,7.6,4,212.4562383,122,25-JUL-16 06.40.55.000000000 AM
Truck 1,25-Jul-16,01.46.29.000000000 PM,338.5,272,688,580,2.2,92,627,2.4,4,117.3477664,71,25-JUL-16 08.46.29.000000000 AM
Truck 1,25-Jul-16,02.25.42.000000000 PM,371.9,172,10,240,1.1,977,692,3,4,106.4647074,53,25-JUL-16 09.25.42.000000000 AM
Truck 1,25-Jul-16,03.02.01.000000000 PM,363.2,110,172,537,3.5,79,1117,6.2,4,186.431532,95,25-JUL-16 10.02.01.000000000 AM
Truck 1,25-Jul-16,03.37.00.000000000 PM,374.2,128,222,892,5.9,450,1080,4.1,3,187.377885,94,25-JUL-16 10.37.00.000000000 AM
Truck 1,25-Jul-16,04.25.10.000000000 PM,333.1,291,1844,674,4,253,791,3.6,4,143.8456491,117,25-JUL-16 11.25.10.000000000 AM
Truck 1,25-Jul-16,05.32.05.000000000 PM,357.3,143,11,234,1.4,535,633,3,4,105.0451779,52,25-JUL-16 12.32.05.000000000 PM
Truck 1,25-Jul-16,05.59.06.000000000 PM,353.7,123,164,554,3.6,660,751,3.5,4,120.1868252,67,25-JUL-16 12.59.06.000000000 PM
Truck 1,25-Jul-16,06.38.12.000000000 PM,379.6,190,32,495,3.5,465,574,3,5,84.69858942,69,25-JUL-16 01.38.12.000000000 PM
