MACH_SER_NO,OCUR_TS Date,OCUR_TS Time,PAYLD_WT,LD_TM,EMTY_STOP_TM,EMTY_TRAV_TM,EMTY_TRAV_DSTNC,LD_STOP_TM,LD_TRAV_TM,LD_TRAV_DSTNC,LD_PASS_CT,FUEL_USED_IN_CYC,SHFT_CT
Truck 11,22-Jul-16,12.07.18.000000000 AM,399.5,92.0,129.0,231.0,1.6,67.0,513.0,2.8,4.0,86.11811885,69.0
Truck 11,22-Jul-16,12.25.11.000000000 AM,333.8,133.0,92.0,362.0,2.8,75.0,472.0,2.8,4.0,86.11811885,69.0
Truck 11,22-Jul-16,12.44.52.000000000 AM,361.2,120.0,30.0,318.0,2.7,76.0,475.0,2.7,4.0,85.1717659,66.0
Truck 11,22-Jul-16,01.02.31.000000000 AM,365.2,109.0,63.0,305.0,2.7,73.0,497.0,2.8,4.0,86.59129533,74.0
Truck 11,22-Jul-16,01.20.42.000000000 AM,327.8,93.0,43.0,327.0,2.4,77.0,496.0,2.8,4.0,83.75223647,83.0
Truck 11,22-Jul-16,01.38.41.000000000 AM,366.2,103.0,107.0,316.0,2.7,69.0,489.0,2.8,4.0,88.01082476,73.0
Truck 11,22-Jul-16,03.06.29.000000000 AM,384.8,115.0,124.0,325.0,2.5,62.0,544.0,2.8,5.0,91.3230601,63.0
Truck 11,22-Jul-16,03.26.46.000000000 AM,351.7,111.0,80.0,317.0,2.7,59.0,519.0,2.8,4.0,85.64494238,64.0
Truck 11,22-Jul-16,03.45.36.000000000 AM,348.0,95.0,44.0,312.0,2.7,80.0,466.0,2.7,4.0,83.27905999,67.0
Truck 11,22-Jul-16,04.02.54.000000000 AM,387.2,137.0,2.0,294.0,2.7,53.0,502.0,2.8,4.0,88.01082476,59.0
Truck 11,22-Jul-16,04.20.04.000000000 AM,359.3,95.0,79.0,308.0,2.8,51.0,498.0,2.8,4.0,86.59129533,75.0
Truck 11,22-Jul-16,04.37.57.000000000 AM,357.9,128.0,42.0,324.0,2.8,68.0,521.0,3.0,5.0,91.79623658,60.0
Truck 11,22-Jul-16,04.56.46.000000000 AM,352.1,100.0,211.0,472.0,2.8,71.0,470.0,2.7,4.0,88.01082476,84.0
Truck 11,22-Jul-16,05.19.44.000000000 AM,357.8,99.0,25.0,305.0,2.7,67.0,477.0,2.7,3.0,84.22541295,72.0
Truck 11,22-Jul-16,05.36.36.000000000 AM,357.7,100.0,86.0,298.0,2.7,61.0,471.0,2.8,4.0,82.33270704,65.0
Truck 11,22-Jul-16,05.54.14.000000000 AM,335.2,101.0,73.0,297.0,2.7,184.0,506.0,2.8,4.0,84.69858942,73.0
Truck 11,22-Jul-16,07.35.58.000000000 AM,299.6,113.0,15.0,291.0,2.7,79.0,435.0,2.8,4.0,78.54729522,67.0
